MemberID,ApplicationType,EmpLength,EmpTitle,HomeOwnership,AnnualIncome,DTI,TotalAcc
843127,INDIVIDUAL,3 years,rice &werthmann,MORTGAGE,86400,0.0385,10
985412,INDIVIDUAL,6 years,Five County Assoc of Governments,MORTGAGE,24600,0.0785,21
570309,INDIVIDUAL,< 1 year,north ga dentention center,MORTGAGE,30000,0.0992,19
942813,INDIVIDUAL,6 years,,MORTGAGE,48000,0.2357,27
1255647,INDIVIDUAL,6 years,sky powersports,MORTGAGE,60000,0.0366,10
624878,INDIVIDUAL,2 years,Synovus Bank,MORTGAGE,34000,0.1486,6
671773,INDIVIDUAL,< 1 year,ACUMEN FISCAL AGENT/MS ROBINSON,OWN,18000,0.216,16
593245,INDIVIDUAL,10+ years,inspired automation inc,OWN,43800,0.0737,7
432187,INDIVIDUAL,10+ years,self,OWN,98736,0.0812,19
920793,INDIVIDUAL,1 year,Able Electronics,OWN,48000,0.051,45
506847,INDIVIDUAL,< 1 year,Abraxas I,OWN,27852,0.1021,28
986688,INDIVIDUAL,6 years,La curacao,RENT,48000,0.2585,16
1190684,INDIVIDUAL,7 years,Outback Steakhouse,RENT,30000,0.1872,25
975126,INDIVIDUAL,3 years,URS corp,RENT,22800,0.0526,3
596856,INDIVIDUAL,1 year,walmart,RENT,12720,0,9
633723,INDIVIDUAL,5 years,EdgeStream Inc,RENT,31000,0.0159,5
571361,INDIVIDUAL,8 years,MAD MATT'S Bar & Grille,RENT,89650,0.0056,19
942003,INDIVIDUAL,3 years,Dominos Pizza,RENT,45000,0.1464,18
416412,INDIVIDUAL,10+ years,Pesci Family,RENT,39996,0.2298,43
656002,INDIVIDUAL,< 1 year,Forum Health,RENT,49800,0.174,13
446914,INDIVIDUAL,8 years,River Trails Park District,RENT,15000,0.1688,19
366581,INDIVIDUAL,2 years,DMS Marketing,RENT,48000,0.1753,14
290796,INDIVIDUAL,< 1 year,Nesle,RENT,37440,0.0772,14
1059380,INDIVIDUAL,7 years,24 hour fitness,RENT,105000,0.135,29
371139,INDIVIDUAL,2 years,Starbucks,RENT,15000,0.14,13
1275383,INDIVIDUAL,4 years,URS Corp,RENT,59100,0.1287,13
930853,INDIVIDUAL,4 years,Berean Group,MORTGAGE,126000,0.1529,22
125914,INDIVIDUAL,< 1 year,Tideway Systems,MORTGAGE,173000,0.0072,41
260821,INDIVIDUAL,< 1 year,mdm golf,MORTGAGE,60000,0.0894,27
188654,INDIVIDUAL,5 years,"NetVida Marketing, Inc.",MORTGAGE,40000,0.1872,35
243089,INDIVIDUAL,9 years,CK General Construction,MORTGAGE,200000,0.0484,22
225530,INDIVIDUAL,10+ years,Ramsey County,MORTGAGE,72000,0.2257,44
253715,INDIVIDUAL,2 years,Central Washington Hospital,OWN,10000,0,6
188466,INDIVIDUAL,10+ years,Comerica Bank,RENT,62000,0.1407,23
167318,INDIVIDUAL,< 1 year,Lexington Alarm Systems,RENT,28800,0,5
219037,INDIVIDUAL,2 years,Arborist Services,RENT,50000,0.0506,21
218997,INDIVIDUAL,3 years,Evergreen Treatment Services,RENT,37000,0.1674,36
281309,INDIVIDUAL,< 1 year,Church of God of Prophecy,RENT,54263,0.1238,23
120227,INDIVIDUAL,1 year,Starbucks,RENT,18000,0.18,5
253974,INDIVIDUAL,2 years,Comcast,RENT,41000,0.1692,16
553755,INDIVIDUAL,1 year,Newcomb Spring,MORTGAGE,85000,0.0239,19
446077,INDIVIDUAL,1 year,Chemlink Laboratories,MORTGAGE,28500,0.0223,10
394401,INDIVIDUAL,1 year,Jesuit College Preparatory School,MORTGAGE,40308,0.0578,19
1195796,INDIVIDUAL,1 year,Diamond Offshore,MORTGAGE,149400,0.0994,43
950147,INDIVIDUAL,1 year,BRP US Inc,MORTGAGE,54000,0.1129,18
943695,INDIVIDUAL,1 year,Independant Contractor,MORTGAGE,38400,0.0319,7
978223,INDIVIDUAL,1 year,Northwwind Engineering,MORTGAGE,60000,0.0242,6
832879,INDIVIDUAL,1 year,Fakouri Electrical,MORTGAGE,58000,0.2127,24
803704,INDIVIDUAL,10+ years,Second Empire Furniture Inc.,MORTGAGE,31000,0.0283,17
984370,INDIVIDUAL,10+ years,state of missouri department of correcti,MORTGAGE,33600,0.0161,15
1193520,INDIVIDUAL,10+ years,"Stafford Meat Co., Inc.",MORTGAGE,64320,0.025,17
1001198,INDIVIDUAL,10+ years,Local 51,MORTGAGE,79200,0.0218,28
1082151,INDIVIDUAL,10+ years,Bank of America,MORTGAGE,63996,0.0651,26
873188,INDIVIDUAL,10+ years,operating engineers local 158,MORTGAGE,72000,0.2075,23
1251828,INDIVIDUAL,10+ years,williams service co,MORTGAGE,72000,0.1782,37
1102391,INDIVIDUAL,10+ years,"C&E Concrete,inc.",MORTGAGE,41784,0.1872,22
1227382,INDIVIDUAL,10+ years,BASF Corporation,MORTGAGE,96000,0.238,27
1230439,INDIVIDUAL,10+ years,village of solvay dpw,MORTGAGE,54000,0.2407,32
863546,INDIVIDUAL,10+ years,Gideon Toal/U.P.R Inc.,MORTGAGE,36000,0.2293,47
1103400,INDIVIDUAL,10+ years,City of West St Paul,MORTGAGE,114000,0.1658,52
1078994,INDIVIDUAL,10+ years,Harris County,MORTGAGE,48000,0.1732,32
972180,INDIVIDUAL,10+ years,LSU MEDICAL CENTER OF LOUISIANA,MORTGAGE,39600,0.1406,32
706758,INDIVIDUAL,10+ years,ABERDEEN TWSP,MORTGAGE,108000,0.1976,37
699868,INDIVIDUAL,10+ years,Micros Systems Inc.,MORTGAGE,57431,0.0618,21
1234988,INDIVIDUAL,10+ years,Arkansas Department Of Correction,MORTGAGE,32468.8,0.2935,16
569597,INDIVIDUAL,10+ years,Kroger,MORTGAGE,26000,0.0429,11
556476,INDIVIDUAL,10+ years,Alliance Data Systems,MORTGAGE,75000,0.0234,21
1257204,INDIVIDUAL,10+ years,City of Madisonville,MORTGAGE,58000,0.2692,28
891691,INDIVIDUAL,10+ years,RCCG - Victory Temple,MORTGAGE,50000,0.203,32
845936,INDIVIDUAL,10+ years,Atkins and Pearce,MORTGAGE,48000,0.1988,24
969361,INDIVIDUAL,10+ years,Orchard Supply Hardware,MORTGAGE,73000,0.1433,23
1031607,INDIVIDUAL,10+ years,Custom Phone Inc,MORTGAGE,68000,0.0286,13
961964,INDIVIDUAL,10+ years,Greif LLC,MORTGAGE,112992,0.1825,25
425903,INDIVIDUAL,10+ years,Girard Engineering,MORTGAGE,135000,0.0518,14
615502,INDIVIDUAL,10+ years,AT&T,MORTGAGE,75181,0.1831,30
1079988,INDIVIDUAL,10+ years,City of Chicago,MORTGAGE,110400,0.1916,41
432897,INDIVIDUAL,10+ years,Downey welding,MORTGAGE,48000,0.1257,31
596861,INDIVIDUAL,2 years,Accenture,MORTGAGE,54000,0.0267,15
928926,INDIVIDUAL,2 years,Corvirtus,MORTGAGE,85000,0.04,36
805177,INDIVIDUAL,2 years,Cricket Communications,MORTGAGE,36000,0.1997,21
1053506,INDIVIDUAL,2 years,walmart distribution,MORTGAGE,36000,0.1883,13
725950,INDIVIDUAL,3 years,California Department of Justice,MORTGAGE,120000,0.052,42
582432,INDIVIDUAL,3 years,Mesa Fire Department,MORTGAGE,60000,0.1004,14
1281883,INDIVIDUAL,3 years,Ares Inc.,MORTGAGE,62352,0.1207,24
903454,INDIVIDUAL,3 years,Lonza Inc,MORTGAGE,54000,0.1129,20
426115,INDIVIDUAL,3 years,Rummel  Klepper  and  Kahl,MORTGAGE,60000,0.0036,11
1255698,INDIVIDUAL,4 years,Aramark,MORTGAGE,66000,0.0118,23
595343,INDIVIDUAL,4 years,Sarasota Memorial Hospital,MORTGAGE,241875,0.064,24
1087835,INDIVIDUAL,4 years,Jefferson Lewis BOCES,MORTGAGE,24000,0.067,46
709388,INDIVIDUAL,4 years,Fairfax County Govt.,MORTGAGE,96000,0.0829,28
370608,INDIVIDUAL,4 years,Perot Systems,MORTGAGE,90000,0.0428,12
442237,INDIVIDUAL,4 years,Martin County School District,MORTGAGE,81804,0.0898,30
546914,INDIVIDUAL,4 years,Sacramento Child Advocates,MORTGAGE,28880,0.1596,12
1104233,INDIVIDUAL,5 years,City of Richmond,MORTGAGE,51000,0.1753,15
1044500,INDIVIDUAL,5 years,Le Clos,MORTGAGE,49000,0.0585,16
1009793,INDIVIDUAL,5 years,Bellevue School District,MORTGAGE,42000,0.044,31
574859,INDIVIDUAL,5 years,American Home Shield,MORTGAGE,50000,0.0317,32
642219,INDIVIDUAL,5 years,ST Microelectronics,MORTGAGE,85000,0.0329,32
496234,INDIVIDUAL,5 years,US Air Force,MORTGAGE,50000,0.0833,28
1271153,INDIVIDUAL,5 years,Agusta Westland,MORTGAGE,139200,0.2009,31
884942,INDIVIDUAL,6 years,faztec industries,MORTGAGE,57600,0.0725,24
914846,INDIVIDUAL,6 years,Washoe County School District,MORTGAGE,37459,0.0061,8
368318,INDIVIDUAL,6 years,Classic Center,MORTGAGE,58500,0.0507,19
861281,INDIVIDUAL,6 years,Templeton Steel,MORTGAGE,60000,0.014,12
853863,INDIVIDUAL,7 years,NYS Dept. of Environmental Conservation,MORTGAGE,65000,0.1429,33
901168,INDIVIDUAL,7 years,Centurylink,MORTGAGE,72000,0.0217,11
780895,INDIVIDUAL,7 years,"J.F. Shea Co., Inc.",MORTGAGE,123000,0.234,50
826524,INDIVIDUAL,8 years,Hunter Industries,MORTGAGE,110000,0.0524,27
987587,INDIVIDUAL,8 years,Carolina Engine,MORTGAGE,48000,0.109,28
1076434,INDIVIDUAL,8 years,"Stafford Family Chiropractic, LLC",MORTGAGE,77040,0.205,30
1040609,INDIVIDUAL,8 years,Vitas Healthcare Corp.,MORTGAGE,60000,0.2712,31
922378,INDIVIDUAL,8 years,mary washington hospital,MORTGAGE,40560,0.0737,47
948842,INDIVIDUAL,9 years,Town of Apple Valley,MORTGAGE,60000,0.15,41
1269489,INDIVIDUAL,9 years,Townsend Design,MORTGAGE,54960,0.1085,15
920343,INDIVIDUAL,9 years,Astrazeneca Pharmaceuticals,MORTGAGE,84000,0.1734,31
959469,INDIVIDUAL,< 1 year,Tri-River Design & Construction,MORTGAGE,65000,0.1927,20
421436,INDIVIDUAL,< 1 year,AMG Imaging Supplies,MORTGAGE,50004,0.101,31
565159,INDIVIDUAL,< 1 year,College of Westchester,MORTGAGE,52000,0.0909,20
1260425,INDIVIDUAL,10+ years,AT&T,MORTGAGE,115000,0.0271,22
436823,INDIVIDUAL,3 years,Harvard University,MORTGAGE,99996,0.0432,18
1015737,INDIVIDUAL,5 years,primus express inc,MORTGAGE,60000,0.2096,34
1274416,INDIVIDUAL,1 year,"E-Z-GO, Textron",MORTGAGE,45000,0.1632,23
888953,INDIVIDUAL,1 year,ETMC Carthage,MORTGAGE,40000,0.1041,12
957278,INDIVIDUAL,1 year,Florida Farm Bureau Insurance Company,MORTGAGE,55000,0.1647,27
906743,INDIVIDUAL,1 year,Graham Packaging Inc.,MORTGAGE,72000,0.1887,39
596860,INDIVIDUAL,10+ years,Prince William County Schools,MORTGAGE,75000,0.0173,24
965621,INDIVIDUAL,10+ years,Alliance Datg,MORTGAGE,85000,0.0476,22
711857,INDIVIDUAL,10+ years,"Hodgdon Powder Company,  Inc.",MORTGAGE,70000,0.101,15
855127,INDIVIDUAL,10+ years,Metropolitan Museum of Art,MORTGAGE,48000,0.104,11
656465,INDIVIDUAL,10+ years,Sarnoff Corporation,MORTGAGE,73400,0.0281,28
913732,INDIVIDUAL,10+ years,IRS,MORTGAGE,68800,0.1387,46
899636,INDIVIDUAL,10+ years,Champion Industries-CPC Printing,MORTGAGE,40000,0.0885,31
992748,INDIVIDUAL,10+ years,Oncology Specialists,MORTGAGE,65500,0.2255,34
766903,INDIVIDUAL,10+ years,Finley Hospital,MORTGAGE,52800,0.1527,43
1211442,INDIVIDUAL,10+ years,Welborn Floral,MORTGAGE,60000,0.0858,52
845559,INDIVIDUAL,2 years,TrueNorth Insurance Companies,MORTGAGE,105000,0.0514,20
1236893,INDIVIDUAL,2 years,Vogel Plumbing,MORTGAGE,60000,0.1446,35
616593,INDIVIDUAL,2 years,control point assoc,MORTGAGE,52000,0.1452,28
625184,INDIVIDUAL,2 years,Interfaith Medical Center,MORTGAGE,69000,0.2297,59
1251195,INDIVIDUAL,3 years,Larry Grayson Trucking,MORTGAGE,76800,0.1034,27
1256261,INDIVIDUAL,3 years,K&K  TRANSPORT SERVICES,MORTGAGE,70000,0.2038,26
585294,INDIVIDUAL,3 years,New York State DEC,MORTGAGE,60000,0.1276,33
934676,INDIVIDUAL,3 years,D4D Technologies,MORTGAGE,99400,0.089,38
1049845,INDIVIDUAL,4 years,Onyx Power,MORTGAGE,96000,0.016,11
825145,INDIVIDUAL,4 years,Storms Ford Lincoln,MORTGAGE,95000,0.0728,43
660596,INDIVIDUAL,4 years,van galder bus co.,MORTGAGE,45000,0.048,29
1050351,INDIVIDUAL,5 years,Canyon View Vineyard Church,MORTGAGE,60000,0.0188,29
593497,INDIVIDUAL,5 years,Peak CMS,MORTGAGE,72000,0.2152,23
1017727,INDIVIDUAL,5 years,american sugar refining,MORTGAGE,80000,0.1452,20
759924,INDIVIDUAL,5 years,STATE FARM INSURANCE,MORTGAGE,38400,0.1072,13
624789,INDIVIDUAL,5 years,Coilcraft,MORTGAGE,52000,0.1048,12
650279,INDIVIDUAL,5 years,S.P. Richards,MORTGAGE,100000,0.0803,36
817666,INDIVIDUAL,6 years,altona correctional,MORTGAGE,70000,0.0807,45
815592,INDIVIDUAL,6 years,Town of Cheektowaga,MORTGAGE,51000,0.0137,10
1027019,INDIVIDUAL,6 years,State of Missouri,MORTGAGE,41664,0.1529,26
773056,INDIVIDUAL,6 years,Avocent Corp,MORTGAGE,97000,0.1018,12
977451,INDIVIDUAL,7 years,Porsche Cars N.A,MORTGAGE,68000,0.0145,25
423921,INDIVIDUAL,7 years,Compleat Restorations,MORTGAGE,52700,0.1724,18
1037146,INDIVIDUAL,7 years,American Home Shield,MORTGAGE,55000,0.1462,39
541920,INDIVIDUAL,< 1 year,Indus Corporation,MORTGAGE,45000,0.1139,18
612600,INDIVIDUAL,< 1 year,NYC TRANSIT,MORTGAGE,58000,0.0989,11
1222660,INDIVIDUAL,10+ years,S&S Tire,MORTGAGE,80796,0.1019,29
1108628,INDIVIDUAL,3 years,Eye care centers of america,MORTGAGE,30000,0.092,23
948466,INDIVIDUAL,7 years,Dematic Corp.,MORTGAGE,73440,0.0559,11
356975,INDIVIDUAL,10+ years,Self-employed,MORTGAGE,26796,0.0658,15
1262713,INDIVIDUAL,10+ years,NY State,MORTGAGE,47500,0.1976,34
538542,INDIVIDUAL,1 year,BP Corporation North America,MORTGAGE,79000,0.0317,22
1104499,INDIVIDUAL,10+ years,TEMPLE INLAND,MORTGAGE,49536,0.0908,29
997991,INDIVIDUAL,10+ years,Farrar Corp,MORTGAGE,96000,0.1465,20
979595,INDIVIDUAL,10+ years,Lee's Summit Schools,MORTGAGE,69600,0.131,22
1201393,INDIVIDUAL,3 years,CareFusion,MORTGAGE,84554.16,0.1524,32
849849,INDIVIDUAL,3 years,TransPac Aviation Academy,MORTGAGE,90000,0.1035,30
658773,INDIVIDUAL,3 years,TIAA-CREF,MORTGAGE,85000,0.1276,27
743854,INDIVIDUAL,3 years,Holland Hart LLP,MORTGAGE,35100,0.1593,10
1000505,INDIVIDUAL,3 years,TTUHSC,MORTGAGE,45600,0.1605,18
844598,INDIVIDUAL,6 years,Universal Punch Corp.,MORTGAGE,81504,0.2488,27
1064045,INDIVIDUAL,6 years,Executive Jet Management,MORTGAGE,97000,0.0878,20
694760,INDIVIDUAL,8 years,valley Plating,MORTGAGE,57000,0.1166,30
535793,INDIVIDUAL,9 years,Cypress-Fairbanks ISD,MORTGAGE,102996,0.1547,30
963690,INDIVIDUAL,1 year,Fleetwood Goldcowyard,MORTGAGE,60000,0.026,30
791294,INDIVIDUAL,10+ years,USA Properties Fund,MORTGAGE,66560,0.0757,29
1230821,INDIVIDUAL,2 years,Tony Pai LLC,MORTGAGE,124800,0.1124,25
763931,INDIVIDUAL,2 years,"Ideosity, Inc.",MORTGAGE,120000,0.211,63
743084,INDIVIDUAL,2 years,AEP,MORTGAGE,97200,0.0877,26
451034,INDIVIDUAL,4 years,ConnectGO Internet Inc,MORTGAGE,100000,0.096,49
778911,INDIVIDUAL,5 years,st joseph,MORTGAGE,60000,0.0398,13
1281827,INDIVIDUAL,7 years,Westlake Chemical Company,MORTGAGE,60000,0.1984,29
987239,INDIVIDUAL,8 years,DDI,MORTGAGE,44000,0.0982,21
1195465,INDIVIDUAL,< 1 year,Shick USA,MORTGAGE,54000,0.2227,34
397032,INDIVIDUAL,< 1 year,United Natural Food Inc,MORTGAGE,105000,0.1409,38
934744,INDIVIDUAL,1 year,EvolveIP,MORTGAGE,71040,0.0764,25
735661,INDIVIDUAL,10+ years,Murphy's Mountain Jewelers,MORTGAGE,22000,0.1309,15
715619,INDIVIDUAL,5 years,city of hoquiam,MORTGAGE,66000,0.1149,24
724759,INDIVIDUAL,5 years,L-3 Communications,MORTGAGE,88000,0.0068,22
786442,INDIVIDUAL,10+ years,Standex Engraving LLC,MORTGAGE,90000,0.0913,15
748779,INDIVIDUAL,10+ years,City of Rio Rancho,MORTGAGE,60000,0.2288,29
775520,INDIVIDUAL,10+ years,Broward County,MORTGAGE,60000,0.0764,12
970363,INDIVIDUAL,10+ years,Leslie Equipment Co.,MORTGAGE,65000,0.0762,6
802616,INDIVIDUAL,10+ years,YUMA COUNTY,MORTGAGE,40000,0.1929,13
617757,INDIVIDUAL,2 years,Prudential,MORTGAGE,131000,0.2183,34
1059082,INDIVIDUAL,2 years,excell co.,MORTGAGE,57600,0.1731,18
933143,INDIVIDUAL,2 years,Quality Carriers,MORTGAGE,96000,0.2493,49
607608,INDIVIDUAL,3 years,Northwood Manufacturing,MORTGAGE,31200,0.1123,13
978668,INDIVIDUAL,3 years,med plus staffing,MORTGAGE,76800,0.1775,8
884903,INDIVIDUAL,3 years,Cosmo Films,MORTGAGE,75000,0.1704,29
990554,INDIVIDUAL,4 years,Swagelok,MORTGAGE,39000,0.0231,13
511576,INDIVIDUAL,5 years,"Verizon Federal, Inc.",MORTGAGE,65200,0.1721,36
1230766,INDIVIDUAL,6 years,Polychem,MORTGAGE,83000,0.1865,18
395889,INDIVIDUAL,8 years,Applebee's,MORTGAGE,62851,0.0903,22
864190,INDIVIDUAL,9 years,"Cork, Hill and Company, L.L.C.",MORTGAGE,54996,0.0539,11
992800,INDIVIDUAL,2 years,carolina health care,MORTGAGE,56160,0.0549,34
632851,INDIVIDUAL,1 year,,MORTGAGE,45000,0.1125,13
722341,INDIVIDUAL,10+ years,Advance Auto Parts,MORTGAGE,120000,0.1896,50
815649,INDIVIDUAL,10+ years,The American Sugar Refiining Co,MORTGAGE,99750,0.0729,18
1267588,INDIVIDUAL,10+ years,Countryside Animal Hospital,MORTGAGE,108000,0.0964,18
784596,INDIVIDUAL,10+ years,B N S F Railroad,MORTGAGE,48000,0.2402,30
713865,INDIVIDUAL,4 years,Mt. Olive Twp,MORTGAGE,90000,0.1532,48
984137,INDIVIDUAL,9 years,,MORTGAGE,70000,0.2309,19
834488,INDIVIDUAL,1 year,San Antonio Fire Department,MORTGAGE,46800,0.1459,11
900219,INDIVIDUAL,5 years,Nutricap Labs,MORTGAGE,150000,0.0465,16
390612,INDIVIDUAL,7 years,South San Francisco Fire Department,MORTGAGE,120000,0.1451,27
1040782,INDIVIDUAL,9 years,Cudd Energy Services,MORTGAGE,100000,0.1268,29
618278,INDIVIDUAL,3 years,TSI CORP,MORTGAGE,41000,0.106,39
638159,INDIVIDUAL,8 years,Food Lion,MORTGAGE,45000,0.1,20
296474,INDIVIDUAL,10+ years,Johnson & Johnson,MORTGAGE,99000,0.0886,24
567415,INDIVIDUAL,3 years,Data Doctors,MORTGAGE,29000,0.0691,9
988157,INDIVIDUAL,10+ years,West Ottawa Public Schools,MORTGAGE,105000,0.2058,61
1097939,INDIVIDUAL,2 years,John Muir Health,MORTGAGE,78000,0.2128,18
370454,INDIVIDUAL,8 years,Horace Mann Insurance,MORTGAGE,92904,0.198,37
542120,INDIVIDUAL,6 years,"I-many, Inc.",MORTGAGE,150000,0.025,17
662623,INDIVIDUAL,9 years,city of dixon,MORTGAGE,80000,0.1761,29
887830,INDIVIDUAL,2 years,tyco electronics,MORTGAGE,57600,0.1429,17
693209,INDIVIDUAL,2 years,dish network,MORTGAGE,46140,0.1165,9
505430,INDIVIDUAL,< 1 year,Prostar Packaging,MORTGAGE,15000,0.1528,7
932478,INDIVIDUAL,< 1 year,Agile1 Inc.,MORTGAGE,144000,0.0961,14
570794,INDIVIDUAL,< 1 year,walmart,MORTGAGE,100000,0.0895,17
928636,INDIVIDUAL,8 years,Penn United Technologies,MORTGAGE,44400,0.0492,11
634592,INDIVIDUAL,3 years,"Hennes Services, Inc.",MORTGAGE,53000,0.1915,27
934984,INDIVIDUAL,6 years,Ingles Markets,MORTGAGE,19200,0.1406,7
1191431,INDIVIDUAL,9 years,Floor Productions llc,MORTGAGE,48000,0.118,31
1235403,INDIVIDUAL,6 years,NexTier Bank,MORTGAGE,103000,0.1732,47
374794,INDIVIDUAL,10+ years,PHILIP MORRIS,MORTGAGE,130000,0.1106,32
998342,INDIVIDUAL,10+ years,J&K Fleas An'Tiques,MORTGAGE,126000,0.1276,51
736455,INDIVIDUAL,10+ years,Frontier Telephone,MORTGAGE,50000,0.1586,55
659194,INDIVIDUAL,10+ years,lucky eagle casino,MORTGAGE,42000,0.11,20
377327,INDIVIDUAL,5 years,Hacienda La Puente USD,OTHER,55000,0.0676,22
707878,INDIVIDUAL,1 year,city of yuma,OWN,63600,0.2209,21
596143,INDIVIDUAL,10+ years,"Babcock, Langbein and Co",OWN,200000,0.0694,26
1077447,INDIVIDUAL,10+ years,schneider national carriers,OWN,48000,0.092,17
1210906,INDIVIDUAL,10+ years,L3 Communcations C.P.S.,OWN,53000,0.0335,8
849947,INDIVIDUAL,10+ years,Amerigas,OWN,42300,0.1447,14
370824,INDIVIDUAL,10+ years,KOIKE ARONSON INC,OWN,75000,0.1781,27
972813,INDIVIDUAL,3 years,medlab,OWN,28000,0.1393,19
998690,INDIVIDUAL,3 years,william edwards,OWN,42000,0.0177,16
771025,INDIVIDUAL,4 years,Apple Rehab of Old Saybrook,OWN,48000,0.1115,22
941999,INDIVIDUAL,5 years,medx billing services,OWN,33600,0.1368,15
756206,INDIVIDUAL,6 years,Capps Ag Center,OWN,65000,0.2494,37
1095196,INDIVIDUAL,7 years,Attila Contractor,OWN,19200,0.0225,15
893426,INDIVIDUAL,7 years,Rialto Theater,OWN,14400,0.1517,10
795814,INDIVIDUAL,7 years,Town Of Stoneham Police Dept,OWN,39600,0.0806,8
1259806,INDIVIDUAL,8 years,flexsol,OWN,48000,0.0775,12
980621,INDIVIDUAL,< 1 year,"Sysco, Inc",OWN,41000,0.0808,12
454370,INDIVIDUAL,< 1 year,Octapharma,OWN,40000,0.1323,17
1063721,INDIVIDUAL,10+ years,the automaster,OWN,40000,0.1161,29
418858,INDIVIDUAL,5 years,houston Cold Freight,OWN,48000,0.1207,14
869236,INDIVIDUAL,6 years,HARPER ELECTRI CONSTRUCTION,OWN,31577,0.0821,21
409174,INDIVIDUAL,< 1 year,Colorado Mountain College,OWN,29280,0.0725,16
593144,INDIVIDUAL,10+ years,Fidelity Investments,OWN,109000,0.058,32
601235,INDIVIDUAL,10+ years,Steel-T Heating Inc.,OWN,74400,0.0426,31
1046913,INDIVIDUAL,10+ years,UFCW Local 27,OWN,50000,0.2102,32
877274,INDIVIDUAL,5 years,Garratt Callahan,OWN,102000,0.1242,21
600698,INDIVIDUAL,< 1 year,,OWN,70000,0.0792,27
926657,INDIVIDUAL,5 years,BNP Paribas,OWN,100000,0.1464,16
932157,INDIVIDUAL,4 years,Customized Distribution Services,OWN,120000,0.2412,46
618879,INDIVIDUAL,10+ years,,OWN,52000,0.1011,17
647818,INDIVIDUAL,4 years,interstate brands corp.,OWN,58000,0.1128,11
949275,INDIVIDUAL,6 years,VA GI Bill Education,OWN,43200,0.0936,6
595463,INDIVIDUAL,10+ years,,OWN,140000,0.242,11
919104,INDIVIDUAL,3 years,mercy college,OWN,16800,0.0471,24
1273265,INDIVIDUAL,5 years,Scooter Paints,OWN,26000,0.0711,9
599104,INDIVIDUAL,< 1 year,,OWN,12000,0.17,5
726033,INDIVIDUAL,10+ years,L3 Communications C.P.S.,OWN,50000,0.0151,5
1003052,INDIVIDUAL,2 years,the back doctor,OWN,36000,0.0587,15
582181,INDIVIDUAL,3 years,Walmart,OWN,24300,0.0099,4
573959,INDIVIDUAL,7 years,Mumm Napa,OWN,62000,0.0805,15
906620,INDIVIDUAL,10+ years,UCF,OWN,49200,0.0402,30
631696,INDIVIDUAL,2 years,Graphics Packaging,OWN,50000,0.1409,10
460293,INDIVIDUAL,< 1 year,Town of Seneca Falls Highway,OWN,18720,0.2083,8
596465,INDIVIDUAL,10+ years,,OWN,124000,0.0825,10
596215,INDIVIDUAL,10+ years,,OWN,130000,0.0788,10
595963,INDIVIDUAL,10+ years,,OWN,120000,0.0851,10
881044,INDIVIDUAL,7 years,Nicholson MFG,OWN,36000,0.247,21
