LoanID,MemberID,AddressState,ApplicationType,EmpTitle,Grade,IssueDate,LastCreditPullDate,LastPaymentDate,LoanStatus,NextPaymentDate,Purpose,SubGrade,Term,VerificationStatus,Installment,InterestRate,LoanAmount,TotalPayment,LoanKey
472634,596856,FL,INDIVIDUAL,walmart,A,09-12-2021,11-04-2021,10-11-2021,Charged Off,10-12-2021,car,A1, 36 months,Not Verified,231.75,0.0705,7500,2073,43
494891,633723,MA,INDIVIDUAL,EdgeStream Inc,B,10-03-2021,16-04-2021,11-03-2021,Charged Off,11-04-2021,car,B5, 36 months,Not Verified,182.66,0.1136,5550,2083,44
458797,571361,NV,INDIVIDUAL,MAD MATT'S Bar & Grille,B,09-11-2021,11-11-2021,11-07-2021,Charged Off,11-08-2021,car,B2, 36 months,Not Verified,725.31,0.1148,22000,15424,45
743690,942003,OK,INDIVIDUAL,Dominos Pizza,B,11-05-2021,15-02-2021,12-06-2021,Charged Off,12-07-2021,car,B5, 36 months,Not Verified,332.1,0.1199,10000,4553,46
384963,416412,NJ,INDIVIDUAL,Pesci Family,B,09-03-2021,11-07-2021,11-03-2021,Charged Off,11-04-2021,car,B1, 36 months,Not Verified,261.71,0.1095,8000,6197,47
508426,656002,OH,INDIVIDUAL,Forum Health,B,10-05-2021,16-05-2021,11-12-2021,Charged Off,11-01-2022,car,B4, 36 months,Not Verified,163.68,0.1099,5000,3110,48
402318,446914,IL,INDIVIDUAL,River Trails Park District,B,09-05-2021,12-03-2021,11-10-2021,Charged Off,11-11-2021,car,B5, 36 months,Not Verified,106.61,0.1221,3200,3140,49
359401,366581,CA,INDIVIDUAL,DMS Marketing,C,08-10-2021,16-05-2021,09-09-2021,Charged Off,09-10-2021,car,C3, 36 months,Not Verified,200.47,0.1241,6000,5104,50
290803,290796,TX,INDIVIDUAL,Nesle,C,08-03-2021,10-12-2021,10-08-2021,Charged Off,10-09-2021,car,C2, 36 months,Not Verified,98.7,0.1134,3000,2798,51
847836,1059380,AZ,INDIVIDUAL,24 hour fitness,C,11-08-2021,16-05-2021,13-05-2021,Charged Off,13-06-2021,car,C3, 36 months,Not Verified,382.74,0.1399,11200,8037,52
362098,371139,FL,INDIVIDUAL,Starbucks,D,08-11-2021,11-01-2021,10-08-2021,Charged Off,10-09-2021,car,D2, 36 months,Not Verified,136.08,0.1367,4000,2685,53
1044994,1275383,CA,INDIVIDUAL,URS Corp,D,11-12-2021,16-05-2021,14-03-2021,Charged Off,14-04-2021,car,D2, 36 months,Not Verified,106.62,0.1677,3000,2772,54
734343,930853,NY,INDIVIDUAL,Berean Group,B,11-04-2021,14-03-2021,13-10-2021,Charged Off,13-11-2021,car,B2, 36 months,Not Verified,193.61,0.1,6000,5796,55
126392,125914,WI,INDIVIDUAL,Tideway Systems,A,07-09-2021,07-08-2021,08-04-2021,Fully Paid,08-05-2021,car,A4, 36 months,Not Verified,313.67,0.0807,10000,10435,56
269289,260821,CT,INDIVIDUAL,mdm golf,A,08-03-2021,11-01-2021,10-10-2021,Fully Paid,10-11-2021,car,A5, 36 months,Not Verified,316.28,0.0863,10000,11340,57
266282,188654,TX,INDIVIDUAL,"NetVida Marketing, Inc.",B,08-02-2021,10-05-2021,10-05-2021,Fully Paid,10-06-2021,car,B2, 36 months,Not Verified,257.24,0.0976,8000,9149,58
243406,243089,NJ,INDIVIDUAL,CK General Construction,B,08-02-2021,12-09-2021,11-02-2021,Fully Paid,11-03-2021,car,B2, 36 months,Not Verified,192.93,0.0976,6000,6945,59
226154,225530,MN,INDIVIDUAL,Ramsey County,E,08-01-2021,11-01-2021,11-02-2021,Fully Paid,11-03-2021,car,E1, 36 months,Not Verified,170.72,0.1393,5000,6146,60
253727,253715,WA,INDIVIDUAL,Central Washington Hospital,A,08-02-2021,10-09-2021,10-09-2021,Fully Paid,10-10-2021,car,A5, 36 months,Not Verified,142.33,0.0863,4500,5096,61
196380,188466,CA,INDIVIDUAL,Comerica Bank,A,08-01-2021,10-02-2021,10-02-2021,Fully Paid,10-03-2021,car,A4, 36 months,Not Verified,345.06,0.0807,11000,12247,62
206181,167318,MA,INDIVIDUAL,Lexington Alarm Systems,A,08-01-2021,16-04-2021,10-04-2021,Fully Paid,10-05-2021,car,A1, 36 months,Not Verified,108.27,0.0712,3500,3863,63
219070,219037,CO,INDIVIDUAL,Arborist Services,B,08-02-2021,10-09-2021,10-09-2021,Fully Paid,10-10-2021,car,B5, 36 months,Not Verified,194.91,0.1046,6000,6982,64
219000,218997,WA,INDIVIDUAL,Evergreen Treatment Services,B,08-01-2021,11-01-2021,11-01-2021,Fully Paid,11-02-2021,car,B1, 36 months,Not Verified,175.42,0.092,5500,6320,65
281384,281309,TN,INDIVIDUAL,Church of God of Prophecy,C,08-03-2021,11-03-2021,11-03-2021,Fully Paid,11-04-2021,car,C3, 36 months,Not Verified,115.69,0.1166,3500,4164,66
120525,120227,VA,INDIVIDUAL,Starbucks,C,07-08-2021,11-06-2021,10-08-2021,Fully Paid,10-09-2021,car,C3, 36 months,Not Verified,130.79,0.1091,4000,4708,67
253987,253974,VA,INDIVIDUAL,Comcast,C,08-02-2021,16-05-2021,10-06-2021,Fully Paid,10-07-2021,car,C1, 36 months,Not Verified,98.26,0.1103,3000,3498,68
450292,553755,CT,INDIVIDUAL,Newcomb Spring,A,09-10-2021,16-02-2021,12-10-2021,Fully Paid,12-11-2021,car,A2, 36 months,Not Verified,136.66,0.074,4400,4920,69
401775,446077,GA,INDIVIDUAL,Chemlink Laboratories,A,09-05-2021,12-05-2021,12-05-2021,Fully Paid,12-06-2021,car,A2, 36 months,Not Verified,265.13,0.0768,8500,9544,70
373881,394401,TX,INDIVIDUAL,Jesuit College Preparatory School,A,09-01-2021,11-02-2021,11-02-2021,Fully Paid,11-03-2021,car,A2, 36 months,Not Verified,155.96,0.0768,5000,5422,71
973780,1195796,TX,INDIVIDUAL,Diamond Offshore,A,11-10-2021,14-10-2021,14-10-2021,Fully Paid,14-11-2021,car,A2, 36 months,Not Verified,214.93,0.0662,7000,7737,72
750759,950147,WI,INDIVIDUAL,BRP US Inc,A,11-06-2021,14-06-2021,14-06-2021,Fully Paid,14-07-2021,car,A2, 36 months,Not Verified,60.84,0.0599,2000,2190,73
745149,943695,OH,INDIVIDUAL,Independant Contractor,A,11-05-2021,16-05-2021,14-05-2021,Fully Paid,14-06-2021,car,A3, 36 months,Not Verified,74.1,0.0699,2400,2667,74
775926,978223,MO,INDIVIDUAL,Northwwind Engineering,A,11-06-2021,14-06-2021,14-06-2021,Fully Paid,14-07-2021,car,A4, 36 months,Not Verified,149.29,0.0749,4800,5374,75
651079,832879,RI,INDIVIDUAL,Fakouri Electrical,A,11-01-2021,14-01-2021,14-01-2021,Fully Paid,14-02-2021,car,A4, 36 months,Not Verified,124.04,0.0729,4000,4466,76
627209,803704,MD,INDIVIDUAL,Second Empire Furniture Inc.,A,10-12-2021,14-10-2021,13-12-2021,Fully Paid,13-01-2022,car,A1, 36 months,Not Verified,241.28,0.0542,8000,8686,77
781516,984370,MO,INDIVIDUAL,state of missouri department of correcti,A,11-06-2021,11-07-2021,11-08-2021,Fully Paid,11-09-2021,car,A1, 36 months,Not Verified,90.48,0.0542,3000,3014,78
971771,1193520,CA,INDIVIDUAL,"Stafford Meat Co., Inc.",A,11-10-2021,16-05-2021,14-10-2021,Fully Paid,14-11-2021,car,A1, 36 months,Not Verified,243.49,0.0603,8000,8765,79
796355,1001198,RI,INDIVIDUAL,Local 51,A,11-06-2021,16-04-2021,14-07-2021,Fully Paid,14-08-2021,car,A1, 36 months,Not Verified,150.8,0.0542,5000,5429,80
868443,1082151,DE,INDIVIDUAL,Bank of America,A,11-09-2021,16-05-2021,14-04-2021,Fully Paid,14-05-2021,car,A1, 36 months,Not Verified,96.52,0.0542,3200,3468,81
683816,873188,NY,INDIVIDUAL,operating engineers local 158,A,11-03-2021,11-09-2021,11-09-2021,Fully Paid,11-10-2021,car,A1, 36 months,Not Verified,223.19,0.0542,7400,7556,82
1023029,1251828,PA,INDIVIDUAL,williams service co,A,11-11-2021,14-11-2021,14-12-2021,Fully Paid,14-01-2022,car,A1, 36 months,Not Verified,152.18,0.0603,5000,5478,83
886517,1102391,NM,INDIVIDUAL,"C&E Concrete,inc.",A,11-09-2021,14-09-2021,14-10-2021,Fully Paid,14-11-2021,car,A1, 36 months,Not Verified,152.18,0.0603,5000,5478,84
1001581,1227382,TX,INDIVIDUAL,BASF Corporation,A,11-10-2021,16-05-2021,13-10-2021,Fully Paid,13-11-2021,car,A1, 36 months,Not Verified,182.62,0.0603,6000,6493,85
1004019,1230439,NY,INDIVIDUAL,village of solvay dpw,A,11-10-2021,16-04-2021,14-08-2021,Fully Paid,14-09-2021,car,A1, 36 months,Not Verified,182.62,0.0603,6000,6569,86
675716,863546,NV,INDIVIDUAL,Gideon Toal/U.P.R Inc.,A,11-02-2021,14-04-2021,14-03-2021,Fully Paid,14-04-2021,car,A1, 36 months,Not Verified,271.44,0.0542,9000,9772,87
887254,1103400,MN,INDIVIDUAL,City of West St Paul,A,11-10-2021,16-05-2021,14-11-2021,Fully Paid,14-12-2021,car,A1, 36 months,Not Verified,219.14,0.0603,7200,7889,88
865714,1078994,TX,INDIVIDUAL,Harris County,A,11-09-2021,16-05-2021,13-08-2021,Fully Paid,13-09-2021,car,A1, 36 months,Not Verified,170.41,0.0542,5650,6067,89
770503,972180,LA,INDIVIDUAL,LSU MEDICAL CENTER OF LOUISIANA,A,11-06-2021,12-01-2021,12-01-2021,Fully Paid,12-02-2021,car,A2, 36 months,Not Verified,182.51,0.0599,6000,6194,90
548151,706758,NJ,INDIVIDUAL,ABERDEEN TWSP,A,10-07-2021,16-05-2021,13-08-2021,Fully Paid,13-09-2021,car,A2, 36 months,Not Verified,107.69,0.0676,3500,3877,91
542312,699868,FL,INDIVIDUAL,Micros Systems Inc.,A,10-07-2021,16-05-2021,13-07-2021,Fully Paid,13-08-2021,car,A2, 36 months,Not Verified,123.07,0.0676,4000,4431,92
1008323,1234988,AR,INDIVIDUAL,Arkansas Department Of Correction,A,11-11-2021,15-12-2021,14-12-2021,Fully Paid,14-01-2022,car,A3, 36 months,Not Verified,186.67,0.0751,6000,6714,93
457893,569597,AR,INDIVIDUAL,Kroger,A,09-11-2021,12-11-2021,12-11-2021,Fully Paid,12-12-2021,car,A3, 36 months,Not Verified,218.54,0.0774,7000,7867,94
451579,556476,OH,INDIVIDUAL,Alliance Data Systems,A,09-10-2021,14-06-2021,12-03-2021,Fully Paid,12-04-2021,car,A3, 36 months,Not Verified,156.1,0.0774,5000,5584,95
1027822,1257204,KY,INDIVIDUAL,City of Madisonville,A,11-11-2021,16-05-2021,14-08-2021,Fully Paid,14-09-2021,car,A3, 36 months,Not Verified,56,0.0751,1800,2013,96
700052,891691,NC,INDIVIDUAL,RCCG - Victory Temple,A,11-04-2021,15-11-2021,14-04-2021,Fully Paid,14-05-2021,car,A3, 36 months,Not Verified,308.41,0.0692,10000,11103,97
661459,845936,OH,INDIVIDUAL,Atkins and Pearce,A,11-02-2021,14-02-2021,14-02-2021,Fully Paid,14-03-2021,car,A4, 36 months,Not Verified,201.57,0.0729,6500,7257,98
768140,969361,CA,INDIVIDUAL,Orchard Supply Hardware,A,11-05-2021,12-12-2021,12-12-2021,Fully Paid,12-01-2022,car,A4, 36 months,Not Verified,155.51,0.0749,5000,5312,99
823069,1031607,CT,INDIVIDUAL,Custom Phone Inc,A,11-07-2021,12-11-2021,12-11-2021,Fully Paid,12-12-2021,car,A4, 36 months,Not Verified,248.82,0.0749,8000,8615,100
761499,961964,GA,INDIVIDUAL,Greif LLC,A,11-05-2021,14-08-2021,14-06-2021,Fully Paid,14-07-2021,car,A4, 36 months,Not Verified,248.82,0.0749,8000,8957,101
390651,425903,VA,INDIVIDUAL,Girard Engineering,A,09-04-2021,15-07-2021,12-04-2021,Fully Paid,12-05-2021,car,A4, 36 months,Not Verified,255.58,0.0932,8000,9201,102
483645,615502,GA,INDIVIDUAL,AT&T,A,10-02-2021,13-02-2021,13-02-2021,Fully Paid,13-03-2021,car,A4, 36 months,Not Verified,186.66,0.0751,6000,6720,103
866551,1079988,IL,INDIVIDUAL,City of Chicago,A,11-09-2021,14-09-2021,14-09-2021,Fully Paid,14-10-2021,car,A4, 36 months,Not Verified,93.31,0.0749,3000,3359,104
394295,432897,CA,INDIVIDUAL,Downey welding,A,09-04-2021,12-05-2021,12-05-2021,Fully Paid,12-06-2021,car,A5, 36 months,Not Verified,481.42,0.0963,15000,17331,105
472637,596861,TX,INDIVIDUAL,Accenture,A,09-12-2021,11-12-2021,11-12-2021,Fully Paid,11-01-2022,car,A1, 36 months,Not Verified,268.83,0.0705,8700,9538,106
732697,928926,CO,INDIVIDUAL,Corvirtus,A,11-04-2021,15-10-2021,14-05-2021,Fully Paid,14-06-2021,car,A1, 36 months,Not Verified,168.9,0.0542,5600,6080,107
628369,805177,TX,INDIVIDUAL,Cricket Communications,A,10-12-2021,13-12-2021,13-12-2021,Fully Paid,13-01-2022,car,A3, 36 months,Not Verified,54.9,0.0617,1800,1977,108
842807,1053506,NY,INDIVIDUAL,walmart distribution,A,11-08-2021,16-05-2021,14-08-2021,Fully Paid,14-09-2021,car,A4, 36 months,Not Verified,217.72,0.0749,7000,7838,109
564180,725950,CA,INDIVIDUAL,California Department of Justice,A,10-08-2021,13-08-2021,13-09-2021,Fully Paid,13-10-2021,car,A1, 36 months,Not Verified,140.76,0.0639,4600,5068,110
464609,582432,AZ,INDIVIDUAL,Mesa Fire Department,A,09-12-2021,16-05-2021,10-03-2021,Fully Paid,10-04-2021,car,A2, 36 months,Not Verified,62.12,0.074,2000,2036,111
1050642,1281883,OH,INDIVIDUAL,Ares Inc.,A,11-12-2021,14-06-2021,14-06-2021,Fully Paid,14-07-2021,car,A2, 36 months,Not Verified,116.68,0.0662,3800,4187,112
710680,903454,PA,INDIVIDUAL,Lonza Inc,A,11-03-2021,14-04-2021,14-04-2021,Fully Paid,14-05-2021,car,A2, 36 months,Not Verified,151.64,0.0579,5000,5459,113
390765,426115,MD,INDIVIDUAL,Rummel  Klepper  and  Kahl,A,09-04-2021,10-03-2021,10-02-2021,Fully Paid,10-03-2021,car,A3, 36 months,Not Verified,313.37,0.08,10000,10513,114
1026512,1255698,TX,INDIVIDUAL,Aramark,A,11-11-2021,14-11-2021,14-12-2021,Fully Paid,14-01-2022,car,A1, 36 months,Not Verified,91.31,0.0603,3000,3287,115
471543,595343,FL,INDIVIDUAL,Sarasota Memorial Hospital,A,09-12-2021,11-08-2021,11-08-2021,Fully Paid,11-09-2021,car,A1, 36 months,Not Verified,494.4,0.0705,16000,17370,116
873529,1087835,NY,INDIVIDUAL,Jefferson Lewis BOCES,A,11-09-2021,15-09-2021,14-09-2021,Fully Paid,14-10-2021,car,A1, 36 months,Not Verified,39.21,0.0542,1300,1411,117
550334,709388,VA,INDIVIDUAL,Fairfax County Govt.,A,10-07-2021,16-05-2021,11-03-2021,Fully Paid,11-04-2021,car,A2, 36 months,Not Verified,138.46,0.0676,4500,4613,118
361816,370608,CA,INDIVIDUAL,Perot Systems,A,08-11-2021,16-05-2021,11-11-2021,Fully Paid,11-12-2021,car,A3, 36 months,Not Verified,156.69,0.08,5000,5641,119
399481,442237,FL,INDIVIDUAL,Martin County School District,A,09-05-2021,16-03-2021,12-05-2021,Fully Paid,12-06-2021,car,A3, 36 months,Not Verified,282.03,0.08,9000,10153,120
446873,546914,CA,INDIVIDUAL,Sacramento Child Advocates,A,09-10-2021,16-01-2021,12-02-2021,Fully Paid,12-03-2021,car,A4, 36 months,Not Verified,63.23,0.0859,2000,2260,121
887905,1104233,VA,INDIVIDUAL,City of Richmond,A,11-09-2021,16-05-2021,14-10-2021,Fully Paid,14-11-2021,car,A1, 36 months,Not Verified,121.75,0.0603,4000,4383,122
834628,1044500,GA,INDIVIDUAL,Le Clos,A,11-08-2021,16-05-2021,14-08-2021,Fully Paid,14-09-2021,car,A1, 36 months,Not Verified,105.56,0.0542,3500,3800,123
803977,1009793,WA,INDIVIDUAL,Bellevue School District,A,11-07-2021,16-05-2021,14-07-2021,Fully Paid,14-08-2021,car,A1, 36 months,Not Verified,180.96,0.0542,6000,6515,124
460501,574859,GA,INDIVIDUAL,American Home Shield,A,09-11-2021,12-01-2021,11-04-2021,Fully Paid,11-05-2021,car,A2, 36 months,Not Verified,155.3,0.074,5000,5398,125
500124,642219,AZ,INDIVIDUAL,ST Microelectronics,A,10-04-2021,13-02-2021,13-02-2021,Fully Paid,13-03-2021,car,A3, 36 months,Not Verified,247.52,0.0714,8000,8906,126
421959,496234,GA,INDIVIDUAL,US Air Force,A,09-07-2021,10-05-2021,10-05-2021,Fully Paid,10-06-2021,car,A4, 36 months,Not Verified,95.85,0.0932,3000,3189,127
1040942,1271153,PA,INDIVIDUAL,Agusta Westland,A,11-12-2021,13-07-2021,13-07-2021,Fully Paid,13-08-2021,car,A4, 36 months,Not Verified,187.75,0.079,6000,6395,128
694067,884942,NY,INDIVIDUAL,faztec industries,A,11-03-2021,14-03-2021,14-03-2021,Fully Paid,14-04-2021,car,A1, 36 months,Not Verified,120.64,0.0542,4000,4343,129
720394,914846,NV,INDIVIDUAL,Washoe County School District,A,11-04-2021,13-04-2021,13-03-2021,Fully Paid,13-04-2021,car,A3, 36 months,Not Verified,172.71,0.0692,5600,6130,130
360506,368318,GA,INDIVIDUAL,Classic Center,A,08-11-2021,11-11-2021,11-11-2021,Fully Paid,11-12-2021,car,A3, 36 months,Not Verified,125.35,0.08,4000,4512,131
673841,861281,CA,INDIVIDUAL,Templeton Steel,A,11-02-2021,13-07-2021,11-09-2021,Fully Paid,11-10-2021,car,A4, 36 months,Not Verified,94.59,0.0729,3050,3170,132
667916,853863,NY,INDIVIDUAL,NYS Dept. of Environmental Conservation,A,11-02-2021,14-02-2021,14-02-2021,Fully Paid,14-03-2021,car,A1, 36 months,Not Verified,180.96,0.0542,6000,6515,133
708650,901168,FL,INDIVIDUAL,Centurylink,A,11-03-2021,13-12-2021,13-12-2021,Fully Paid,13-01-2022,car,A3, 36 months,Not Verified,154.21,0.0692,5000,5543,134
608757,780895,CA,INDIVIDUAL,"J.F. Shea Co., Inc.",A,10-11-2021,16-05-2021,13-11-2021,Fully Paid,13-12-2021,car,A5, 36 months,Not Verified,280.61,0.0691,15000,10102,135
645985,826524,CA,INDIVIDUAL,Hunter Industries,A,11-01-2021,15-02-2021,13-02-2021,Fully Paid,13-03-2021,car,A1, 36 months,Not Verified,235.25,0.0542,7800,8388,136
784380,987587,SC,INDIVIDUAL,Carolina Engine,A,11-06-2021,15-12-2021,12-05-2021,Fully Paid,12-06-2021,car,A1, 36 months,Not Verified,135.72,0.0542,4500,4680,137
863309,1076434,CT,INDIVIDUAL,"Stafford Family Chiropractic, LLC",A,11-09-2021,14-09-2021,14-09-2021,Fully Paid,14-10-2021,car,A2, 36 months,Not Verified,179.47,0.0599,5900,6461,138
831388,1040609,OH,INDIVIDUAL,Vitas Healthcare Corp.,A,11-08-2021,14-08-2021,14-08-2021,Fully Paid,14-09-2021,car,A4, 36 months,Not Verified,62.21,0.0749,2000,2239,139
726906,922378,VA,INDIVIDUAL,mary washington hospital,A,11-04-2021,15-12-2021,13-02-2021,Fully Paid,13-03-2021,car,A4, 36 months,Not Verified,93.03,0.0729,3000,3292,140
